tokens,co_occur,negative,neutral,positive,total_freq,pos_ratio,neg_ratio,neu_ratio,dominant_sentiment,association_strength
,',1,2,4,7,0.5714285714285714,0.14285714285714285,0.2857142857142857,pos,1.9999924258841721
abadala,bethi,2,1,1,4,0.25,0.5,0.25,neg,-0.9999971146185744
abenza,imisebenzi,1,1,2,4,0.5,0.25,0.25,pos,0.9999971146185745
baqinisile,abadala,2,1,1,4,0.25,0.5,0.25,neg,-0.9999971146185744
bese,uyinika,1,1,2,4,0.5,0.25,0.25,pos,0.9999971146185745
bhala,incwadi,1,1,2,4,0.5,0.25,0.25,pos,0.9999971146185745
bhala,inombolo,1,1,4,6,0.6666666666666666,0.16666666666666666,0.16666666666666666,pos,1.9999935078966615
chaza,isizathu,1,1,4,6,0.6666666666666666,0.16666666666666666,0.16666666666666666,pos,1.9999935078966615
ekubhebhethekiseni,udweshu,1,1,2,4,0.5,0.25,0.25,pos,0.9999971146185745
ekugqamiseni,indikimba,1,1,2,4,0.5,0.25,0.25,pos,0.9999971146185745
esitholakala,kulo,1,1,3,5,0.6,0.2,0.2,pos,1.5849576917537163
ethi,,1,1,3,5,0.6,0.2,0.2,pos,1.5849576917537163
imibuzo,yephepha,1,1,2,4,0.5,0.25,0.25,pos,0.9999971146185745
impendulo,yakho,1,2,4,7,0.5714285714285714,0.14285714285714285,0.2857142857142857,pos,1.9999924258841721
indaba,yakho,1,1,2,4,0.5,0.25,0.25,pos,0.9999971146185745
inhloso,yombhali,2,3,1,6,0.16666666666666666,0.3333333333333333,0.5,neu,-0.9999956719343536
inombolo,yombuzo,1,1,3,5,0.6,0.2,0.2,pos,1.5849576917537163
inyama,yenkomo,2,1,1,4,0.25,0.5,0.25,neg,-0.9999971146185744
isihloko,indaba,1,1,2,4,0.5,0.25,0.25,pos,0.9999971146185745
isizathu,sombhali,1,1,3,5,0.6,0.2,0.2,pos,1.5849576917537163
isizinda,sesikhathi,1,1,2,4,0.5,0.25,0.25,pos,0.9999971146185745
iyini,inhloso,2,3,1,6,0.16666666666666666,0.3333333333333333,0.5,neu,-0.9999956719343536
kokufunda,imibuzo,1,1,2,4,0.5,0.25,0.25,pos,0.9999971146185745
kubalulekile,ngoba,1,1,2,4,0.5,0.25,0.25,pos,0.9999971146185745
kule,noveli,1,1,2,4,0.5,0.25,0.25,pos,0.9999971146185745
kulezi,zithakazelo,1,1,2,4,0.5,0.25,0.25,pos,0.9999971146185745
kulo,mdlalo,1,1,5,7,0.7142857142857143,0.14285714285714285,0.14285714285714285,pos,2.3219200158290656
kuvuthondaba,kulo,1,1,2,4,0.5,0.25,0.25,pos,0.9999971146185745
kuyofika,kuvuthondaba,1,1,2,4,0.5,0.25,0.25,pos,0.9999971146185745
kuze,kuyofika,1,1,2,4,0.5,0.25,0.25,pos,0.9999971146185745
kwesinye,isikhathi,1,1,2,4,0.5,0.25,0.25,pos,0.9999971146185745
lakho,akusho,1,1,2,4,0.5,0.25,0.25,pos,0.9999971146185745
leli,khasi,1,1,2,4,0.5,0.25,0.25,pos,0.9999971146185745
lokho,kuzokwenza,1,1,2,4,0.5,0.25,0.25,pos,0.9999971146185745
lolu,suku,1,1,5,7,0.7142857142857143,0.14285714285714285,0.14285714285714285,pos,2.3219200158290656
mdlalo,othi,1,1,2,4,0.5,0.25,0.25,pos,0.9999971146185745
nalesi,simo,1,1,3,5,0.6,0.2,0.2,pos,1.5849576917537163
ngale,ndlela,2,1,1,4,0.25,0.5,0.25,neg,-0.9999971146185744
ngalolu,suku,1,1,2,4,0.5,0.25,0.25,pos,0.9999971146185745
ngaphambi,kokuba,1,2,3,6,0.5,0.16666666666666666,0.3333333333333333,pos,1.5849567299640759
ngaphandle,kokufunda,1,1,2,4,0.5,0.25,0.25,pos,0.9999971146185745
ngempumelelo,yombhali,1,1,4,6,0.6666666666666666,0.16666666666666666,0.16666666666666666,pos,1.9999935078966615
ngesiko,lakho,1,1,3,5,0.6,0.2,0.2,pos,1.5849576917537163
ngokukhulu,ukuzuma,1,1,2,4,0.5,0.25,0.25,pos,0.9999971146185745
noveli,ethi,1,1,2,4,0.5,0.25,0.25,pos,0.9999971146185745
othi,,1,1,2,4,0.5,0.25,0.25,pos,0.9999971146185745
samanje,esitholakala,1,1,2,4,0.5,0.25,0.25,pos,0.9999971146185745
sekela,impendulo,1,1,4,6,0.6666666666666666,0.16666666666666666,0.16666666666666666,pos,1.9999935078966615
semfundo,ephakeme,1,1,2,4,0.5,0.25,0.25,pos,0.9999971146185745
sesikhathi,samanje,1,1,2,4,0.5,0.25,0.25,pos,0.9999971146185745
sokusebenzisa,isizinda,1,1,3,5,0.6,0.2,0.2,pos,1.5849576917537163
sombhali,sokusebenzisa,1,1,3,5,0.6,0.2,0.2,pos,1.5849576917537163
ubuye,usho,1,1,2,4,0.5,0.25,0.25,pos,0.9999971146185745
udweshu,kuze,1,1,2,4,0.5,0.25,0.25,pos,0.9999971146185745
ukufunda,izincwadi,1,1,3,5,0.6,0.2,0.2,pos,1.5849576917537163
ukwazi,ukuqonda,1,1,2,4,0.5,0.25,0.25,pos,0.9999971146185745
umngani,wakho,1,1,2,4,0.5,0.25,0.25,pos,0.9999971146185745
usho,wena,1,1,2,4,0.5,0.25,0.25,pos,0.9999971146185745
uyinika,isihloko,1,1,2,4,0.5,0.25,0.25,pos,0.9999971146185745
wawungabhekana,nalesi,1,1,2,4,0.5,0.25,0.25,pos,0.9999971146185745
wawungenzenjani,wawungabhekana,1,1,2,4,0.5,0.25,0.25,pos,0.9999971146185745
wena,wawungenzenjani,1,1,2,4,0.5,0.25,0.25,pos,0.9999971146185745
wonke,umuntu,1,1,2,4,0.5,0.25,0.25,pos,0.9999971146185745
xoxa,ngempumelelo,1,1,5,7,0.7142857142857143,0.14285714285714285,0.14285714285714285,pos,2.3219200158290656
yakho,ubuye,1,1,2,4,0.5,0.25,0.25,pos,0.9999971146185745
yephepha,lonke,1,1,2,4,0.5,0.25,0.25,pos,0.9999971146185745
yombhali,ekubhebhethekiseni,1,1,2,4,0.5,0.25,0.25,pos,0.9999971146185745
yombhali,ekugqamiseni,1,1,2,4,0.5,0.25,0.25,pos,0.9999971146185745
