,CILUBA,French,Score,Sentiment,Nature,English,Zulu,Afrikaans,Sepedi,Xhosa,Shona
0,Akaja,Arrange,1.0,postive,Verbe,Arrange,Hlela,Reël,Beakanya,Cwangcisa,Ronga
1,Akajilula,Rearrange,1.0,postive,Verbe,Rear range,Ibanga langemuva,Agterreeks,Range ya ka morao .,Uluhlu lwangasemva,Kumashure
2,Akula,Parle,2.0,postive,Verbe,Speak,Khuluma,Praat,Bolela,Thetha,Taura
3,Akulula,Reparle,2.0,postive,Verbe,Speak again,Khuluma futhi,Praat weer,Bolela gape .,Thetha kwakhona,Taura zvakare
4,Aluja,Remet,3.0,postive,Verbe,Hands over,Izandla ngaphezulu,Hande oor,diatla godimo ga .,Izandla ngaphezulu,Maoko pamusoro
5,Amba,Dis,3.0,postive,Verbe,Say,Khuluma,Sê,Bolela,Yithi,Taura
6,Ambakaja,Supperpose,3.0,postive,Verbe,Suppose,Cabanga,Veronderstel,Nagana,Cinga,Ngatitii
7,Ambula,Ramasse,4.0,postive,Verbe,Pick up,Phakamisa,Tel op,Topa,Phakamisa,Nhonga
8,Ambuluja,Depeche,4.0,postive,Verbe,Depeche,I-depeche,Depeche,Depeche .,I-dope,Zvinorevache
9,Ambulula,Repete,9.0,postive,Verbe,Repeated,-Phindaphiwe,Herhaal,pheta-pheta .,Iphindaphindwe,Kudzokororwa
10,Andamuna,Repond,9.0,postive,Verbe,Answers,Ukuphendula,Antwoorde,Dikarabo .,Iimpendulo,Mhinduro
11,Angata,Prend,9.0,postive,Verbe,Takes,Izakahlela,Neem,E tšea .,Ithatha,Zvinotora
12,Angatulula,Reprend,9.0,postive,Verbe,Resume,Qalela phansi,Hervat,Thomološa,Phinda Uqalele,Tangazve
13,Bilamba,Habits,8.0,postive,Mot,Clothes,Izingubo,Klere,Diaparo,Iimpahla,Zvipfeko
14,Bilela,Blague,8.0,postive,Mot,Joke,Ihlaya,Grappie,Metlae,Hlekisa,Joke
15,Biluatu,Vetements,-1.0,negative,Mot,Clothes,Izingubo,Klere,Diaparo,Iimpahla,Zvipfeko
16,Binsonji,Larmes,7.0,postive,Mot,Tears,Izinyembekathi,Trane,Megokgo,Iinyembezi,Misodzi
17,Buela,Entre,7.0,postive,Verbe,Between,Ngaphakathi,Tussen,Magareng,Phakathi,Pakati
18,Bukenka,Lumiere,7.0,postive,Mot,Light,-Mhlophe,Lig,Seetša,Ukukhanya,Chiedza
19,Buloba,Terre,-1.0,negative,Mot,Earth,Inhlabathi,Aarde,Lefase,Umhlaba,Pasi
20,Busuyi,Caboche,1.0,postive,Mot,Noggin,Inqwaba,Noggin,Noggin .,Noggin,Noggin
21,Bufuki,Creature,1.0,postive,Mot,Creature,Isilwane,Skepsel,Sebopiwa .,Isidalwa,Chisikwa
22,Buinvuindi,Ecouteurs,3.0,postive,Mot,Headphones,Ama-headphones,Oorfone,Di-headphone .,Iintloko zentloko,Mahedhifoni
23,Biuma,Dot,4.0,postive,Mot,Dowry,Isipho semali,Bruidskat,Magadi .,I-dowry,Dowry
24,Biululu,Nuage,5.0,postive,Mot,Cloud,Amafu,Wolk,Leru,Ilifu,Gore
