Unnamed: 0,CILUBA,French,Score,Sentiment,Nature,English,Zulu,Afrikaans,Sepedi,Xhosa,Shona
0,akaja,arranger,0.0,neutral,verbe,arrange,hlela,reël,beakanya,cwangcisa,ronga
1,akajilula,rearrange,0.0,neutral,verbe,rearrange,ibanga langemuva,agterreeks,range ya ka morago,uluhlu lwangasemva,kumashure
2,akula,parole,1.0,postive,verbe,speak,khuluma,praat,bolela,thetha,taura
3,akulula,reparle,1.0,postive,verbe,speak,khuluma futhi,praat weer,bolela gape,thetha kwakhona,taura zvakare
4,aluja,remet,1.0,postive,verbe,hands,izandla ngaphezulu,hande oor,diatla godimo ga,izandla ngaphezulu,maoko pamusoro
6,ambakaja,superposer,1.0,postive,verbe,suppose,cabanga,veronderstel,nagana,cinga,ngatitii
7,ambula,ramasser,1.0,postive,verbe,pick,phakamisa,tel op,topa,phakamisa,nhonga
8,ambuluja,depeche,1.0,postive,verbe,depeche,idepeche,depeche,depeche,idope,zvinorevache
9,ambulula,repeter,2.0,postive,verbe,repeated,phindaphiwe,herhaal,phetapheta,iphindaphindwe,kudzokororwa
10,andamuna,repond,2.0,postive,verbe,answers,ukuphendula,antwoorde,dikarabo,iimpendulo,mhinduro
11,angata,prend,2.0,postive,verbe,takes,izakahlela,neem,e tea,ithatha,zvinotora
12,angatulula,reprend,2.0,postive,verbe,resume,qalela phansi,hervat,thomoloa,phinda uqalele,tangazve
13,bilamba,habits,2.0,postive,mot,clothes,izingubo,klere,diaparo,iimpahla,zvipfeko
14,bilela,blague,2.0,positive,mot,joke,ihlaya,grappie,metlae,hlekisa,joke
15,biluatu,vetements,0.0,neutral,mot,clothes,izingubo,klere,diaparo,iimpahla,zvipfeko
16,binsonji,larmes,2.0,postive,mot,tears,izinyembekathi,trane,megokgo,iinyembezi,misodzi
18,bukenka,lumiere,2.0,postive,mot,light,mhlophe,lig,seeta,ukukhanya,chiedza
19,buloba,terre,0.0,neutral,mot,earth,inhlabathi,aarde,lefase,umhlaba,pasi
20,busuyi,caboche,0.0,neutral,mot,noggin,inqwaba,noggin,noggin,noggin,noggin
21,bufuki,creature,0.0,negative,mot,creature,isilwane,skepsel,sebopiwa,isidalwa,chisikwa
22,buinvuindi,ecouteurs,1.0,postive,mot,headphones,amaheadphones,oorfone,diheadphone,iintloko zentloko,mahedhifoni
23,biuma,dot,1.0,postive,mot,dowry,isipho semali,bruidskat,magadi,idowry,dowry
24,bilulu,nuage,1.0,postive,mot,cloud,amafu,wolk,leru,ilifu,gore
25,binvundu,desordre,-1.0,negative,mot,mess,nyakanyekisa,gemors,boaedi,ukungcola,nyonganiso
26,bilongu,fleur,2.0,postive,mot,flower,izimali,blomme,matoba a,intyatyambo,maruva
27,kubunya,plier,2.0,postive,verbe,bend,gobisa,buig,koba,gobe,bend
28,bulela,verité,2.0,positive,mot,truth,iqiniso,waarheid,bonnete,inyani,chokwadi
29,bujitu,poid,2.0,postive,mot,weight,isisindo,gewig,boima,ubunzima,uremu
30,bunsantu,sainteté,2.0,postive,mot,holiness,ubungcwele,heiligheid,bokgethwa,ubungcwele,hutsvene
